Date,Day of the Week,Loadshedding Stage,Energy Consumption (MWh),Temperature (°C),Humidity (%),GDP Growth Rate (%),Population,PV Penetration (%),EV Penetration (Number),Is Holiday
2020-01-01,Wednesday,5,14114.416753311703,22.138181616451313,72.26841824363467,1.02,59308690,1.0,500,True
2020-01-02,Thursday,1,22413.871712019743,22.58333260413761,70.04129794441471,1.18,59308690,1.0,500,False
2020-01-03,Friday,4,21300.183622515753,23.383403892179206,71.15242380687312,0.95,59308690,1.0,500,False
2020-01-04,Saturday,4,15422.398567806944,26.263059798439954,63.05023946736065,0.97,59308690,1.0,500,False
2020-01-05,Sunday,5,15373.812473313259,27.64825674454088,63.61060615315972,0.89,59308690,1.0,500,False
2020-01-06,Monday,2,22171.127139086424,24.573243929780265,73.33562601459238,0.97,59308690,1.0,500,False
2020-01-07,Tuesday,1,21387.52129961198,22.514951660188654,79.11304317213575,1.01,59308690,1.0,500,False
2020-01-08,Wednesday,0,21596.224275404158,26.493345218937613,66.26805391324804,0.96,59308690,1.0,500,False
2020-01-09,Thursday,0,22376.84107419076,21.788389688721487,63.97134085556425,1.1,59308690,1.0,500,False
2020-01-10,Friday,0,22848.19366528132,27.764871405181367,61.83305323904166,0.95,59308690,1.0,500,False
2020-01-11,Saturday,4,16099.924781206877,27.954844337929057,77.9324543604721,1.19,59308690,1.0,500,False
2020-01-12,Sunday,0,16504.02260506108,20.365443829637623,72.15733084402422,0.95,59308690,1.0,500,False
2020-01-13,Monday,5,20938.040359357707,22.507993021924342,72.94303508677353,1.18,59308690,1.0,500,False
2020-01-14,Tuesday,6,20023.580024712206,25.703442723612895,68.1333038074518,1.06,59308690,1.0,500,False
2020-01-15,Wednesday,5,20264.002603272707,22.480257192123062,68.3398669544299,1.12,59308690,1.0,500,False
2020-01-16,Thursday,1,23043.048244500013,21.14279278901349,73.95318458289145,0.89,59308690,1.0,500,False
2020-01-17,Friday,6,19908.998335634253,26.346254275645983,78.03946674038879,0.9,59308690,1.0,500,False
2020-01-18,Saturday,5,15562.733077306884,27.798469403542256,63.390690917407305,0.98,59308690,1.0,500,False
2020-01-19,Sunday,5,15809.623555607706,21.937211021678994,61.10741957024508,1.02,59308690,1.0,500,False
2020-01-20,Monday,3,20773.083735131062,20.34486754961717,61.08089174711608,0.92,59308690,1.0,500,False
2020-01-21,Tuesday,0,22580.30825839008,26.65642999559518,71.34650021701394,1.04,59308690,1.0,500,False
2020-01-22,Wednesday,1,22067.771359682025,21.704954875706317,72.05115354304263,0.87,59308690,1.0,500,False
2020-01-23,Thursday,1,21824.400266906592,24.022325055408945,71.80050557565745,1.02,59308690,1.0,500,False
2020-01-24,Friday,5,21059.188299452973,21.402173053953714,73.78789325787392,0.99,59308690,1.0,500,False
2020-01-25,Saturday,6,14580.972110244715,27.102798210424673,70.7592440223343,0.99,59308690,1.0,500,False
2020-01-26,Sunday,1,15714.600854511285,22.766499333081008,76.21709643632258,0.91,59308690,1.0,500,False
